id,word
0,american (new)
0,breweries
1,sandwiches
1,venues & event spaces
1,breakfast & brunch
2,ethiopian
3,parks
4,chicken wings
4,seafood
4,pizza
5,sandwiches
5,sports bars
6,bakeries
6,coffee & tea
6,breakfast & brunch
7,bakeries
7,greek
7,cafes
8,bars
8,seafood
8,steakhouses
9,ice cream & frozen yogurt
10,mexican
11,japanese
11,sushi bars
11,vegetarian
12,sandwiches
12,cuban
13,american (new)
14,indian
15,mexican
15,american (new)
15,breakfast & brunch
16,mexican
17,american (traditional)
18,food stands
19,bakeries
19,custom cakes
20,chinese
21,american (traditional)
21,hot dogs
22,lounges
22,italian
22,pizza
23,burgers
23,sports bars
24,chicken wings
24,seafood
25,sports bars
25,american (new)
25,gastropubs
26,sandwiches
26,burgers
26,salad
27,greek
28,seafood
29,bakeries
30,chinese
31,bakeries
31,gluten-free
31,coffee & tea
32,sushi bars
33,sandwiches
33,diners
33,breakfast & brunch
34,burgers
34,fast food
35,cuban
35,cafes
35,breakfast & brunch
36,mexican
37,mexican
37,coffee & tea
37,breakfast & brunch
38,bars
38,american (traditional)
39,mexican
39,food stands
40,mediterranean
40,"beer, wine & spirits"
40,cocktail bars
41,burgers
41,american (new)
41,hot dogs
42,ice cream & frozen yogurt
42,desserts
42,soup
43,comfort food
43,southern
43,chicken shop
44,lounges
45,chinese
46,burgers
46,mexican
47,chicken wings
47,fast food
48,mexican
48,vegetarian
49,burgers
49,hot dogs
49,sandwiches
50,sandwiches
50,pizza
50,desserts
51,mexican
52,mexican
53,cocktail bars
53,american (traditional)
53,breakfast & brunch
54,mexican
54,meat shops
54,latin american
55,korean
56,coffee & tea
57,mexican
58,salvadoran
59,coffee & tea
59,american (traditional)
59,breakfast & brunch
60,sandwiches
60,delis
60,bagels
61,burgers
61,fish & chips
61,seafood
62,italian
62,pizza
62,barbeque
63,ice cream & frozen yogurt
64,latin american
65,bars
65,american (traditional)
66,coffee & tea
66,french
66,breakfast & brunch
67,seafood
68,american (new)
68,breakfast & brunch
69,ramen
69,cocktail bars
70,ice cream & frozen yogurt
71,pizza
72,sandwiches
73,american (new)
74,diners
74,american (traditional)
74,breakfast & brunch
75,bars
75,italian
75,pizza
76,donuts
76,coffee & tea
76,breakfast & brunch
77,mexican
78,mexican
79,mexican
80,italian
80,pizza
81,chinese
82,halal
82,mediterranean
82,middle eastern
83,ice cream & frozen yogurt
84,coffee & tea
85,fast food
85,hot dogs
86,sandwiches
86,cuban
86,cafes
87,airport lounges
88,sports bars
88,pizza
88,cafes
89,chinese
90,seafood
91,chinese
92,sandwiches
92,coffee & tea
92,breakfast & brunch
94,mexican
95,sandwiches
95,italian
95,pizza
96,pizza
97,sushi bars
98,italian
98,pizza
98,barbeque
99,buffets
100,mexican
100,cocktail bars
100,breakfast & brunch
101,southern
101,chicken shop
102,mexican
