id,word
0,breweries
0,american (new)
1,sandwiches
1,venues & event spaces
1,breakfast & brunch
2,ethiopian
3,parks
4,chicken wings
4,seafood
4,pizza
5,sandwiches
5,sports bars
6,bakeries
6,breakfast & brunch
6,coffee & tea
7,greek
7,bakeries
7,cafes
8,seafood
8,bars
8,steakhouses
9,ice cream & frozen yogurt
10,mexican
11,sushi bars
11,japanese
11,vegetarian
12,sandwiches
12,cuban
13,american (new)
14,indian
15,american (new)
15,breakfast & brunch
15,mexican
16,mexican
17,american (traditional)
18,food stands
19,custom cakes
19,bakeries
20,chinese
21,hot dogs
21,american (traditional)
22,lounges
22,italian
22,pizza
23,burgers
23,sports bars
24,chicken wings
24,seafood
25,american (new)
25,sports bars
25,gastropubs
26,sandwiches
26,salad
26,burgers
27,greek
28,seafood
29,bakeries
30,chinese
31,bakeries
31,gluten-free
31,coffee & tea
32,sushi bars
33,sandwiches
33,breakfast & brunch
33,diners
34,burgers
34,fast food
35,cuban
35,breakfast & brunch
35,cafes
36,mexican
37,breakfast & brunch
37,mexican
37,coffee & tea
38,american (traditional)
38,bars
39,food stands
39,mexican
40,mediterranean
40,cocktail bars
40,"beer, wine & spirits"
41,burgers
41,hot dogs
41,american (new)
42,desserts
42,soup
42,ice cream & frozen yogurt
43,chicken shop
43,comfort food
43,southern
44,lounges
45,chinese
46,burgers
46,mexican
47,chicken wings
47,fast food
48,vegetarian
48,mexican
49,sandwiches
49,hot dogs
49,burgers
50,sandwiches
50,desserts
50,pizza
51,mexican
52,mexican
53,cocktail bars
53,american (traditional)
53,breakfast & brunch
54,meat shops
54,mexican
54,latin american
55,korean
56,coffee & tea
57,mexican
58,salvadoran
59,american (traditional)
59,breakfast & brunch
59,coffee & tea
60,sandwiches
60,bagels
60,delis
61,fish & chips
61,burgers
61,seafood
62,italian
62,barbeque
62,pizza
63,ice cream & frozen yogurt
64,latin american
65,american (traditional)
65,bars
66,french
66,breakfast & brunch
66,coffee & tea
67,seafood
68,american (new)
68,breakfast & brunch
69,cocktail bars
69,ramen
70,ice cream & frozen yogurt
71,pizza
72,sandwiches
73,american (new)
74,american (traditional)
74,breakfast & brunch
74,diners
75,italian
75,bars
75,pizza
76,donuts
76,breakfast & brunch
76,coffee & tea
77,mexican
78,mexican
79,mexican
80,italian
80,pizza
81,chinese
82,mediterranean
82,halal
82,middle eastern
83,ice cream & frozen yogurt
84,coffee & tea
85,hot dogs
85,fast food
86,sandwiches
86,cuban
86,cafes
87,airport lounges
88,pizza
88,sports bars
88,cafes
89,chinese
90,seafood
91,chinese
92,sandwiches
92,breakfast & brunch
92,coffee & tea
94,mexican
95,sandwiches
95,italian
95,pizza
96,pizza
97,sushi bars
98,italian
98,barbeque
98,pizza
99,buffets
100,cocktail bars
100,breakfast & brunch
100,mexican
101,chicken shop
101,southern
102,mexican
103,cocktail bars
103,southern
103,breakfast & brunch
104,sandwiches
104,burgers
105,thai
106,mexican
107,sports bars
107,pubs
108,tiki bars
109,american (traditional)
109,buffets
110,cocktail bars
110,italian
110,coffee & tea
111,vietnamese
112,mexican
113,breakfast & brunch
113,seafood
113,steakhouses
114,chinese
114,asian fusion
115,sports bars
116,sandwiches
116,caribbean
116,cuban
117,mexican
118,beer bar
118,german
118,tapas/small plates
119,sandwiches
119,bars
120,mexican
120,bars
121,sushi bars
121,japanese
122,chinese
123,american (traditional)
123,breakfast & brunch
124,fast food
124,mexican
125,breakfast & brunch
125,bars
125,pizza
126,fast food
126,ice cream & frozen yogurt
127,filipino
127,empanadas
128,filipino
128,empanadas
129,vegetarian
129,mexican
129,juice bars & smoothies
130,mexican
131,asian fusion
131,vegetarian
131,gluten-free
132,burgers
132,mexican
133,russian
133,uzbek
134,korean
134,chicken wings
134,barbeque
135,chinese
136,vegan
136,vegetarian
136,mexican
137,cupcakes
137,desserts
137,custom cakes
138,falafel
138,lebanese
139,seafood
139,salad
139,mexican
140,seafood
141,chicken wings
141,caribbean
141,barbeque
142,burgers
143,hot dogs
144,chicken wings
145,asian fusion
145,ramen
146,french
147,sushi bars
147,thai
148,salad
148,wraps
148,american (traditional)
149,korean
149,japanese
149,barbeque
150,sandwiches
150,cajun/creole
150,coffee & tea
151,mexican
152,salad
152,noodles
152,thai
153,sushi bars
154,hot dogs
155,sushi bars
155,american (new)
156,bakeries
157,cocktail bars
157,party & event planning
157,american (new)
158,donuts
158,coffee & tea
159,burgers
160,pakistani
161,puerto rican
161,american (traditional)
161,food trucks
162,sandwiches
162,salad
162,burgers
163,venues & event spaces
163,mexican
164,pizza
165,american (traditional)
165,burgers
166,cafes
167,sushi bars
167,asian fusion
168,chinese
169,mexican
170,mexican
171,italian
171,pizza
172,asian fusion
172,sushi bars
172,japanese
173,thai
174,mexican
175,sandwiches
175,delis
175,italian
176,italian
177,vietnamese
178,salad
178,noodles
178,thai
179,hot dogs
179,american (traditional)
179,fast food
180,asian fusion
180,japanese
180,thai
181,mexican
182,mexican
182,american (traditional)
182,diners
183,brazilian
183,steakhouses
184,mexican
185,desserts
185,italian
185,pizza
186,desserts
186,italian
186,pizza
187,vietnamese
188,salad
188,italian
188,pizza
189,desserts
189,macarons
190,bars
191,chicken wings
191,american (new)
191,seafood
192,cocktail bars
192,barbeque
192,soul food
193,bakeries
194,thai
195,recreation centers
195,parks
195,playgrounds
196,mediterranean
196,halal
196,middle eastern
197,american (new)
198,chinese
199,indian
199,vegetarian
199,fast food
200,chicken wings
201,mexican
202,seafood
203,cupcakes
203,desserts
203,bakeries
204,sandwiches
205,desserts
205,vegetarian
205,vietnamese
206,mexican
207,italian
207,mexican
207,pizza
208,vegan
208,vegetarian
209,polish
209,modern european
210,music venues
210,dive bars
211,jazz & blues
211,lounges
212,steakhouses
213,american (new)
213,cafes
214,cupcakes
214,food trucks
215,golf
216,american (traditional)
216,breakfast & brunch
217,italian
217,pizza
218,pizza
219,delis
220,ice cream & frozen yogurt
220,mexican
220,juice bars & smoothies
221,cajun/creole
222,parks
222,playgrounds
223,indian
224,coffee & tea
224,bakeries
224,cafes
225,chinese
226,cocktail bars
226,ramen
226,izakaya
227,pizza
228,festivals
228,barbeque
229,fast food
230,desserts
231,tacos
231,fast food
232,seafood
232,food trucks
233,chicken wings
233,burgers
233,american (new)
234,sports bars
235,caribbean
235,venues & event spaces
235,latin american
236,fast food
236,greek
236,mexican
237,american (traditional)
237,pubs
238,mexican
238,food trucks
239,cocktail bars
239,seafood
239,pizza
240,chicken wings
240,hot dogs
240,burgers
241,vietnamese
242,mexican
243,chicken wings
243,fast food
244,pizza
245,mexican
245,bars
246,burgers
246,fast food
246,coffee & tea
247,italian
248,thai
249,cocktail bars
249,brewpubs
249,tapas/small plates
250,salad
250,japanese
250,poke
251,asian fusion
251,sushi bars
251,japanese
252,chinese
252,japanese
253,chinese
253,soup
253,seafood
254,comfort food
254,argentine
254,steakhouses
255,desserts
255,american (new)
255,breakfast & brunch
256,parks
257,italian
257,pizza
258,ice cream & frozen yogurt
259,pasta shops
259,delis
259,italian
260,sushi bars
260,japanese
260,lounges
261,seafood
261,mexican
262,spanish
262,latin american
263,cupcakes
263,bakeries
264,sandwiches
264,vietnamese
265,italian
265,bars
265,pizza
266,american (new)
266,venues & event spaces
266,pop-up restaurants
267,barbeque
267,soul food
268,pizza
269,sandwiches
269,salad
269,fast food
270,american (traditional)
270,burgers
271,mexican
272,bars
273,chinese
273,vietnamese
274,chicken shop
274,american (traditional)
274,bars
275,mexican
276,italian
277,american (traditional)
277,breakfast & brunch
277,diners
278,seafood
279,desserts
279,gelato
279,ice cream & frozen yogurt
280,sandwiches
280,burgers
280,pizza
281,vietnamese
282,restaurants
282,bars
283,american (new)
283,sports bars
284,chinese
284,vegetarian
284,seafood
285,vegan
285,cocktail bars
285,vegetarian
286,salad
286,american (new)
286,wraps
287,korean
287,tacos
288,ice cream & frozen yogurt
289,brewpubs
289,american (new)
290,mexican
291,restaurants
292,cocktail bars
292,latin american
293,mexican
294,restaurants
295,filipino
295,american (traditional)
295,breakfast & brunch
296,cafes
297,chinese
298,chinese
298,"beer, wine & spirits"
298,sushi bars
299,tacos
299,barbeque
299,coffee & tea
300,american (traditional)
300,vegetarian
300,soul food
301,coffee & tea
302,bakeries
303,sandwiches
303,italian
303,pizza
304,chinese
305,coffee & tea
306,hot dogs
306,burgers
306,fast food
307,whiskey bars
307,gastropubs
308,empanadas
308,mexican
309,pizza
310,caribbean
310,barbeque
311,caterers
311,new mexican cuisine
312,breakfast & brunch
313,mexican
314,caribbean
315,italian
315,pizza
316,sandwiches
316,wraps
316,juice bars & smoothies
317,mexican
318,seafood
319,chicken shop
319,fish & chips
319,seafood
320,golf
321,desserts
321,bakeries
322,american (traditional)
322,breakfast & brunch
322,diners
323,southern
323,diners
323,breakfast & brunch
324,chinese
325,cafes
326,coffee & tea
327,british
327,breakfast & brunch
327,pubs
328,desserts
328,noodles
328,soup
329,italian
329,pizza
330,cocktail bars
330,seafood
330,mexican
331,thai
332,moroccan
332,middle eastern
333,chicken wings
333,pizza
334,mediterranean
334,greek
334,bars
335,grocery
335,delis
335,breakfast & brunch
336,mexican
337,sandwiches
337,american (traditional)
337,delis
338,chicken shop
338,fast food
339,soul food
340,chinese
341,venues & event spaces
341,italian
341,pizza
342,mediterranean
342,turkish
342,kebab
343,international grocery
343,tacos
344,hot pot
344,chinese
344,mongolian
345,american (new)
346,cajun/creole
346,comfort food
346,soul food
347,mexican
348,desserts
348,juice bars & smoothies
349,mexican
350,sushi bars
350,japanese
352,seafood
353,cupcakes
353,breakfast & brunch
353,bakeries
354,mexican
355,mexican
356,chicken wings
356,sandwiches
356,american (new)
357,cocktail bars
357,american (new)
358,burgers
358,breakfast & brunch
358,diners
359,asian fusion
359,ramen
360,mexican
360,juice bars & smoothies
361,vietnamese
362,cocktail bars
362,beer bar
363,chinese
364,restaurants
365,fast food
365,pizza
366,candy stores
366,chocolatiers & shops
366,ice cream & frozen yogurt
367,cocktail bars
367,italian
367,lounges
368,burgers
368,breakfast & brunch
369,meat shops
369,tacos
369,"beer, wine & spirits"
370,mexican
371,noodles
371,sushi bars
371,japanese
372,sandwiches
372,italian
372,pizza
373,ice cream & frozen yogurt
374,chinese
375,lounges
376,vegan
377,chicken wings
377,chicken shop
377,fast food
378,mexican
379,mediterranean
379,african
379,american (traditional)
380,cabaret
380,lounges
381,breweries
381,american (new)
382,vietnamese
383,tennis
383,parks
383,playgrounds
384,sushi bars
384,japanese
385,sandwiches
386,mexican
387,mexican
388,breakfast & brunch
388,diners
388,cafes
389,bakeries
390,grocery
390,meat shops
390,delis
390,bakeries
391,american (traditional)
392,thai
393,sports bars
394,coffee roasteries
394,breakfast & brunch
394,coffee & tea
395,donuts
395,breakfast & brunch
395,coffee & tea
396,caribbean
397,custom cakes
397,patisserie/cake shop
397,bakeries
398,italian
398,pizza
399,italian
400,burgers
400,southern
400,pizza
401,cocktail bars
401,beer bar
401,barbeque
402,chicken wings
403,greek
403,burgers
403,comfort food
404,chinese
405,italian
405,gluten-free
405,pizza
406,sandwiches
406,cheesesteaks
406,salad
407,desserts
407,american (traditional)
407,bakeries
408,bakeries
409,pizza
410,mediterranean
411,wine bars
411,american (traditional)
411,italian
412,irish
